title,company,location,duration,stipend,hiring_since,oppor_posted,perks,skills,openings
Media Buying,Rusk Media,Delhi,3 Months," 7,000 /month",Hiring since June 2019,300 opportunities posted,,"Content Marketing,MS-Office,Social Media Marketing",2
Data Research,Alphanumeric Ideas Private Limited,Work From Home,2 Months," 1,500-3,000 /month",Hiring since January 2020,262 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week",MS-Excel,10
Robotics Mentoring,Evobi Automation Private Limited (Bibox Labs),Coimbatore,3 Months," 10,000 /month +  Incentives",Hiring since November 2022,11 opportunities posted,"Certificate,Letter of recommendation","Arduino,Internet of Things (IoT),Raspberry Pi",1
Operations,Bhumi,Work From Home,6 Months,Unpaid,Hiring since June 2020,150 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",,10
Graphic Design - Celebrities Platform,Tring,Mumbai,3 Months," 9,350 /month",Hiring since May 2021,53 opportunities posted,"Letter of recommendation,Flexible work hours,Informal dress code",,2
NGO Operations,RAISE INDIA FOUNDATION,Delhi,6 Weeks," 3,000-7,000 /month",Hiring since December 2021,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Job offer","Content Writing,Digital Marketing,Project Management,Sales and Marketing",45
Product Management & Marketing,Across The Globe (ATG),Work From Home,4 Months," 2,500-7,000 /month",Hiring since January 2016,2331 opportunities posted,"Certificate,Flexible work hours","Digital Marketing,Email Marketing,English Proficiency (Spoken),Google AdWords,Google Analytics,Social Media Marketing",8
Project Management and Marketing,Across The Globe (ATG),Work From Home,4 Months," 2,500-7,000 /month",Hiring since January 2016,2331 opportunities posted,"Certificate,Flexible work hours","Digital Marketing,Email Marketing,English Proficiency (Spoken),Google AdWords,Google Analytics,Social Media Marketing",4
Academic Writing (Teacher Training Program),CloudBird Digital Private Limited,Work From Home,3 Months," 10,000-12,000 /month",Hiring since April 2019,281 opportunities posted,"Certificate,Letter of recommendation","Biology,Chemistry,Content Writing,English Proficiency (Spoken),English Proficiency (Written),Mathematics",20
Google Ads Manager,AONE SEO Service,Ahmedabad,6 Months," 10,000 /month",Hiring since June 2021,28 opportunities posted,"Informal dress code,5 days a week,Job offer","Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Google AdWords,Search Engine Optimization (SEO)",2
Talent Acquisition - Celebrities Platform,Tring,Mumbai,3 Months," 9,350 /month",Hiring since May 2021,53 opportunities posted,"Letter of recommendation,Flexible work hours,Informal dress code,5 days a week",,1
Business Development (Sales),GMAT30 (KJ Online Private Limited),Work From Home,4 Months," 10,000 /month +  Incentives",Hiring since February 2022,6 opportunities posted,"Certificate,Letter of recommendation","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",2
Data Analysis,Alphanumeric Ideas Private Limited,Work From Home,2 Months," 1,500-3,000 /month",Hiring since January 2020,262 opportunities posted,"Certificate,Letter of recommendation,Job offer","Business Analysis,Data Analytics",8
PHP Development,Gloify,Bangalore,5 Months," 10,000 /month",Hiring since September 2017,250 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week",PHP,2
Project Managment,Gloify,Bangalore,5 Months," 8,000 /month",Hiring since September 2017,250 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week",,2
DevOps Engineering,Gloify,Bangalore,5 Months," 10,000 /month",Hiring since September 2017,250 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week",Amazon Web Server (AWS),2
Social Media Marketing,TrakAff,Delhi,6 Months," 5,000 /month",Hiring since August 2022,14 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages,Job offer","Creative Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",15
React Native Development,Gloify,Bangalore,5 Months," 10,000 /month",Hiring since September 2017,250 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week",,2
Digital Marketing,Arcot Group (Arcot Media Private Limited),Mumbai,3 Months," 4,000 /month",Hiring since January 2021,165 opportunities posted,Certificate,"Search Engine Marketing (SEM),Search Engine Optimization (SEO)",2
iOS App Development,Gloify,Bangalore,5 Months," 10,000 /month",Hiring since September 2017,250 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week",,1
Academic Content Writing (Economics),Evelyn Learning Systems,Work From Home,4 Months," 12,000 /month",Hiring since October 2017,801 opportunities posted,"Certificate,5 days a week","Econometrics,Economics,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office",4
Subject Matter Expert (Mathematics/Science),InfyBytes AI Labs Private Limited,Work From Home,2 Months," 5,000 /month +  Incentives",Hiring since October 2018,509 opportunities posted,"Certificate,Flexible work hours","Creative Writing,English Proficiency (Written),Mathematics,Subject Matter Expert (SME)",10
Transaction Advisory Services (Chartered Accountancy),Special Situation Advisors India Private Limited,Mumbai,6 Months," 7,000-12,000 /month",Hiring since September 2015,264 opportunities posted,"Certificate,5 days a week,Job offer","Financial Modeling,MS-Office",1
Subject Matter Expert (SME),Yuva Home Tutors,Work From Home,3 Months," 2,000-4,000 /month",Hiring since August 2017,116 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","Biology,Chemistry,English Proficiency (Written),Mathematics,MS-Office,MS-Word,Physics,Subject Matter Expert (SME)",4
Customer Service,Beyul Private Limited,Work From Home,3 Months," 4,000 /month",Hiring since June 2021,92 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","English Proficiency (Spoken),English Proficiency (Written)",1
Social Media Marketing,Yellow Tent,Bangalore,6 Months," 15,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Job offer",,2
Graphic Design,Everstylish Lifestyle Private Limited,Delhi,3 Months," 5,000-15,000 /month",Hiring since July 2021,80 opportunities posted,"Certificate,Letter of recommendation,Job offer","Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,CorelDRAW,UI & UX Design,Video Editing",2
Video Editing,Everstylish Lifestyle Private Limited,Delhi,3 Months," 5,000-15,000 /month",Hiring since July 2021,80 opportunities posted,"Certificate,Letter of recommendation","Adobe Premiere Pro,Photography,Video Editing,Video Making",2
Anchoring/Acting/Content Creation,Everstylish Lifestyle Private Limited,Gurgaon,3 Months," 5,000-15,000 /month",Hiring since July 2021,80 opportunities posted,"Certificate,Letter of recommendation","Acting Audition,Acting technique,Content Marketing,Social Media Marketing,Video Making",3
Client Servicing,Digital Ipsum,Work From Home,3 Months," 4,000 /month",Hiring since March 2021,440 opportunities posted,"Certificate,Letter of recommendation","English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken),Hindi Proficiency (Written),MS-Office",3
HR Assistance,Simmi Foundation Organization,Work From Home,3 Months,Unpaid,Hiring since March 2020,1502 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office",1
Human Resources (HR),Simmi Foundation Organization,Work From Home,3 Months,Unpaid,Hiring since March 2020,1502 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office",5
HR Analysis,Simmi Foundation Organization,Work From Home,3 Months,Unpaid,Hiring since March 2020,1502 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken),MS-Excel,MS-Office",4
Human Resources (HR),Simmi Foundation Organization,Work From Home,3 Months,Unpaid,Hiring since March 2020,1502 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,Project Management",10
Team Management (Digital Marketing),Nitashh Marketing,Pune,3 Months," 4,000 /month",Hiring since December 2021,29 opportunities posted,,"Client Relationship,Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",1
Digital Marketing,Nitashh Marketing,Pune,3 Months," 5,000 /month",Hiring since December 2021,29 opportunities posted,,"Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",1
Business Legal And Regulatory Compliance,Nitashh Marketing,Work From Home,3 Months," 2,000 /month",Hiring since December 2021,29 opportunities posted,,"Accounting,Compensation management,MS-Excel,MS-Office,MS-PowerPoint,MS-Word,Project Management",1
Business Development (Telesales),Nitashh Marketing,Work From Home,3 Months," 1,000 /month +  Incentives",Hiring since December 2021,29 opportunities posted,,"Business Analysis,Business Research,Client Relationship,Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Sales,Sales and Marketing,Social Media Marketing",1
Project Management,Simmi Foundation Organization,Work From Home,3 Months,Unpaid,Hiring since March 2020,1502 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken),MS-Office,Research and Analytics",7
Business Development (Sales),Unotech Global Solutions Private Limited,Work From Home,3 Months," 8,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,5 days a week","Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Sales",2
Project Management (Task Completion/Service Delivery Management),Nitashh Marketing,Work From Home,3 Months," 2,000 /month",Hiring since December 2021,29 opportunities posted,,"Microsoft Project,MS-Excel,MS-Office,MS-PowerPoint,MS-Word",1
ReactJS Development,BOOKVALA D2D INDIA PRIVATE LIMITED,Mohali,6 Months," 25,000-30,000 /month",Hiring since May 2022,16 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages","HTML,JavaScript,JSON,ReactJS,Redux,REST API,Tailwind CSS",2
Question Solving (Video Projects),Rancike Learning,Work From Home,5 Months," 12,000-15,000 /month",Hiring since November 2020,188 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Biology,Chemistry,Mathematics,Physics",5
Machine Learning,Suvidha Foundation,Work From Home,1 Month,Unpaid,Hiring since May 2021,300 opportunities posted,Certificate,,10
Content Writing,Suvidha Foundation,Work From Home,1 Week,Unpaid,Hiring since May 2021,300 opportunities posted,"Certificate,Letter of recommendation","English Proficiency (Spoken),English Proficiency (Written)",10
Business Development (Sales),Alpha Think (Study Abroad),Work From Home,2 Months," 1,000 /month",Hiring since September 2022,17 opportunities posted,"Certificate,Flexible work hours","English Proficiency (Spoken),English Proficiency (Written)",1
Social Media Marketing,Suvidha Foundation,Work From Home,2 Weeks,Unpaid,Hiring since May 2021,300 opportunities posted,Certificate,,10
Web Development,Suvidha Foundation,Work From Home,1 Month,Unpaid,Hiring since May 2021,300 opportunities posted,Certificate,,20
UI/UX Design,Blackcoffer,Work From Home,6 Months," 5,000 /month",Hiring since October 2016,1457 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Photoshop,Adobe XD,Data Analytics,Data Science,Elasticsearch,Figma,Machine Learning,Power BI,Python,Sketch,SQL,UI & UX Design,User Interface (UI) Development,Wireframing",10
Software Development,Blackcoffer,Work From Home,6 Months," 6,000-12,000 /month",Hiring since October 2016,1457 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","Amazon Web Services (AWS),AngularJS,Express.js,Google Cloud Computing,MongoDB,Node.js,ReactJS,React Native",10
Business Development (Sales),Blue Rose Publishers,Delhi,3 Months," 20,000 /month",Hiring since May 2017,580 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Free snacks & beverages,Job offer","English Proficiency (Spoken),English Proficiency (Written)",10
Business Development (Sales),Blue Rose Publishers,Delhi,3 Months," 20,000 /month",Hiring since May 2017,580 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Free snacks & beverages,Job offer","English Proficiency (Spoken),English Proficiency (Written)",10
